"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Ссылка","Краткое описание","Ключевые слова автора"
"Cobuloglu, H.I.; Büyüktahtakin, I.E.","Cobuloglu, Halil Ibrahim (36663445100); Büyüktahtakin, I̊ Esra (37041223500)","36663445100; 37041223500","A mixed-integer optimization model for the economic and environmental analysis of biomass production","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899842458&partnerID=40&md5=dd174a894013a23aeb0838d16a5b0027","Biofuel production from second-generation feedstock has become critical due to environmental concerns and the need for sustainable energy supply. This paper provides a unique optimization approach of quantifying and formulating the economic and environmental benefits of switchgrass production at the farm level. In particular, we propose a multi-objective mixed-integer programming model, which maximizes the revenue from harvested switchgrass biomass and the economic value obtained from the positive environmental impacts of switchgrass yield during a ten-year planning horizon. Environmental impacts include soil erosion prevention, sustainability of bird populations, carbon sequestration, and carbon emissions, while economic impacts are analyzed under various budget, yield, and sustainability scenarios. The proposed model is then applied to a case study in the state of Kansas. Results show that given the current market prices, switchgrass cultivation on grassland and cropland is highly profitable. The model results also suggest that if utilized by the government, conservation reserve program (CRP) incentives could make marginal land more favorable over cropland. We perform sensitivity analysis to address the uncertainty in budget, yield, and utilization of cropland, and present insights into the economic and environmental impacts of switchgrass production. This model can also be extended to biomass production from any other types of energy crops to identify the most efficient production planning strategies under various management scenarios. © 2014.","Biofuel and biomass production; Carbon emissions and sequestration; Mixed-integer linear optimization; Soil erosion prevention; Sustainability and biodiversity; Switchgrass"
"Liu, Z.; Qiu, T.; Chen, B.","Liu, Zhexuan (56123338500); Qiu, Tong (7006115559); Chen, Bingzhen (7408611691)","56123338500; 7006115559; 7408611691","A LCA based biofuel supply chain analysis framework","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898973770&partnerID=40&md5=e13946caacc3d3e62f8d51eed4ff4b0b","This paper presents a life cycle assessment (LCA) based biofuel supply chain (SC) analysis framework which enables the study of economic, energy and environmental (3E) performances by using multi-objective optimization. The economic objective is measured by the total annual profit, the energy objective is measured by the average fossil energy (FE) inputs per MJ biofuel and the environmental objective is measured by greenhouse gas (GHG) emissions per MJ biofuel. A multi-objective linear fractional programming (MOLFP) model with multi-conversion pathways is formulated based on the framework and is solved by using the ε-constraint method. The MOLFP problem is turned into a mixed integer linear programming (MILP) problem by setting up the total annual profit as the optimization objective and the average FE inputs per MJ biofuel and GHG emissions per MJ biofuel as constraints. In the case study, this model is used to design an experimental biofuel supply chain in China. A set of the weekly Pareto optimal solutions is obtained. Each non-inferior solution indicates the optimal locations and the amount of biomass produced, locations and capacities of conversion factories, locations and amount of biofuel being supplied in final markets and the flow of mass through the supply chain network (SCN). As the model reveals trade-offs among 3E criteria, we think the framework can be a good support tool of decision for the design of biofuel SC. © 2014 Chemical Industry and Engineering Society of China (CIESC) and Chemical Industry Press (CIP).","biofuel; life cycle assessment; optimization; supply chain"
"Eason, J.P.; Cremaschi, S.","Eason, John P. (56517808900); Cremaschi, Selen S. (36863214000)","56517808900; 36863214000","A multi-objective superstructure optimization approach to biofeedstocks-to-biofuels systems design","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897465052&partnerID=40&md5=7c907355dde0a9edc4306e177dd3bf1f","This paper describes a biofeedstock-to-biofuel superstructure (BBSS) and a multi-objective optimization scheme to suggest processing paths for a given biofeedstock. The BBSS uses feedstock compositional data to estimate the mass balance for each of the seventeen production paths in the four categories of transesterification to biodiesel, hydrolysis fermentation to ethanol, gasification to syngas, fast pyrolysis and catalytic upgrading to liquid hydrocarbons, and anaerobic digestion to biogas. An ideal biofuel production process would have low cost, low carbon emissions, and high energy recovery from the feedstock. These three objectives are used in a multi-objective network flow optimization of the BBSS. In order to make biofuels feasible, no part of an energy crop/plant should go to waste, so the optimization assigns a combination of processes to treat different fractions of the feedstock. The results of the optimization for three representative biofeedstocks, rapeseeds, corn, and switchgrass, are discussed in detail with emphasis on how the importance assigned to a given objective impacts the optimal solution. Optimization results indicate that switchgrass should be treated with gasification or anaerobic digestion rather than ethanol fermentation. Rapeseed should be processed using transesterification though the results were too sensitive to make a distinction between different transesterification methods. Results for corn grain confirm that fermentation is probably the best processing method and suggest using anaerobic digestion as treatment for the non-starch fraction. © 2014 Elsevier Ltd.","Alternative fuels; Biofuel production; Multi-objective optimization; Process comparison; Superstructure optimization"
"Mohammad Fauzi, A.H.; Amin, N.A.S.; Mat, R.","Mohammad Fauzi, Ahmad Hafiidz (55326475200); Amin, N. A.S. (35489910900); Mat, Ramli Ramli (56109090200)","55326475200; 35489910900; 56109090200","Esterification of oleic acid to biodiesel using magnetic ionic liquid: Multi-objective optimization and kinetic study","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888837436&partnerID=40&md5=8bcd4837a556beac2af6f9d27ba6e742","The esterification of oleic acid in the presence of magnetic ionic liquid, 1-butyl-3-methylimidazolium tetrachloroferrate ([BMIM][FeCl<inf>4</inf>]) at reaction temperature of 65°C has been investigated. Artificial neural network-genetic algorithm (ANN-GA) was used to simultaneously optimized methyl oleate yield and oleic acid conversion for the reaction. It was found that optimum responses for both yield and conversion were 83.4%, which can be achieved using molar ratio methanol-oleic acid of 22:1, catalyst loading of 0.003mol and reaction time at 3.6h. Esterification of oleic acid at optimum condition using recycled [BMIM][FeCl<inf>4</inf>] registered not much loss in catalytic activity after six successive runs. Kinetic study indicated that the reaction followed a pseudo-first order reaction, with activation energy and pre-activation energy of 17.97kJ/mol and 181.62min-1, respectively. These values were relatively low compared to homogeneous or heterogeneous catalysts for esterification of oleic acid. Thus, [BMIM][FeCl<inf>4</inf>] is a promising new type of catalyst for conversion of high free fatty acid (FFA) feeds to biodiesel. © 2013 Elsevier Ltd.","Biodiesel; Esterification; Kinetic; Magnetic ionic liquid; Optimization; Recycle"
"Ziolkowska, J.R.","Ziolkowska, Jadwiga R. (23136074100)","23136074100","Optimizing biofuels production in an uncertain decision environment: Conventional vs. advanced technologies","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886256857&partnerID=40&md5=a9d49d626cbe1d209ca51a93b853f097","The question of increasing biofuels production and the development of different biofuels production technologies has become controversial. On the one hand, production of corn-based biofuels creates a 'food/feed vs. fuel' tradeoff condition, along with subsequent uncertainties for both consumers and producers (farmers). On the other, advanced biofuels (from, e.g., switchgrass, miscanthus, algae), although acknowledged as environmentally friendly, are not available on a large commercial scale yet.In addition, the limited resource availability for the production of biofuels feedstocks and the question of a sustainable biofuels production are major issues impacting decision making. Most recently, climatic conditions and the 2011-2012 drought in the US have imposed new uncertainties that need to be considered in policy- making processes.By using a multi-objective optimization model, the paper presents an approach of modeling sustainable biofuels production from conventional and advanced biofuels feedstocks, under the condition of limited resources and uncertainty resulting from incomplete information or missing knowledge about the consequences of possible policy actions. © 2013 Elsevier Ltd.","Biofuels; Fuzzy set theory; Linear programming; Multi-criteria decision-making; Policy evaluation; Uncertainty"
"Sengupta, T.; Bhushan, M.; Wangikar, P.P.","Sengupta, Tirthankar (55908928900); Bhushan, Mani (7005277010); Wangikar, Pramod P. (6603635343)","55908928900; 7005277010; 6603635343","Metabolic modeling for multi-objective optimization of ethanol production in a Synechocystis mutant","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889090981&partnerID=40&md5=5540893d20936572da907d378a7f8e61","Cyanobacteria have potential to produce drop-in bio-fuels such as ethanol via photoautotrophic metabolism. Although model cyanobacterial strains have been engineered to produce such products, systematic metabolic engineering studies to identify optimal strains for the same have not been performed. In this work, we identify optimal ethanol producing mutants corresponding to appropriate gene deletions that result in a suitable redirection in the carbon flux. In particular, we systematically simulate exhaustive single and double gene deletions considering a genome scale metabolic model of a mutant strain of the unicellular cyanobacterium Synechocystis species strain PCC 6803. Various optimization based metabolic modeling techniques, such as flux balance analysis (FBA), method of minimization of metabolic adjustment (MOMA) and regulatory on/off minimization (ROOM) were used for this analysis. For single gene deletion MOMA simulations, the Pareto front with biomass and ethanol fluxes as the two objectives to be maximized was obtained and analyzed. Points on the Pareto front represent maximal utilization of resources constrained by substrate uptake thereby representing an optimal trade-off between the two fluxes. Pareto analysis was also performed for double gene deletion MOMA and single and double gene deletion ROOM simulations. Based on these analyses, two mutants, with combined gene deletions in ethanol and purine metabolism pathways, were identified as promising candidates for ethanol production. The relevant genes were adk, pta and ackA. An ethanol productivity of approximately 0.15 mmol/(gDW h) was predicted for these mutants which appears to be reasonable based on experimentally reported values in literature for other strains. © 2013 Springer Science+Business Media Dordrecht.","Ethanol; Flux balance analysis; MOMA; ROOM; Synechocystis"
"Lautenbach, S.; Volk, M.; Strauch, M.; Whittaker, G.; Seppelt, R.","Lautenbach, Sven (14825445000); Volk, Martin (7004320816); Strauch, Michael (37031949900); Whittaker, Gerald W. (56283402800); Seppelt, Ralf (7003453478)","14825445000; 7004320816; 37031949900; 56283402800; 7003453478","Optimization-based trade-off analysis of biodiesel crop production for managing an agricultural catchment","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880624831&partnerID=40&md5=a2e461e91254407372d4f10f579520b7","Political agendas worldwide include increased production of biofuel, which multiplies the trade-offs among conflicting objectives, including food and fodder production, water quantity, water quality, biodiversity, and ecosystem services. Quantification of trade-offs among objectives in bioenergy crop production is most frequently accomplished by a comparison of a limited number of plausible scenarios. Here we analyze biophysical trade-offs among bioenergy crop production based on rape seed, food crop production, water quantity, and water quality in the Parthe catchment in Central Germany. Based on an integrated river basin model (SWAT) and a multi-objective genetic algorithm (NSGA-II), we estimated Pareto optimal frontiers among multiple objectives. Results indicate that the same level of bioenergy crop production can be achieved at different costs with respect to the other objectives. Intermediate rapeseed production does not lead to strong trade-offs with water quality and low flow if a reduction of food and fodder production can be accepted. Compared to solutions focused on maximizing food and fodder yield, solutions with intermediate rapeseed production even improve with respect to water quality and low flow. If rapeseed production is further increased, negative effects on low flow prevail. The major achievement of the optimization approach is the quantification of the functional trade-offs for the feasible range of all objectives. The application of the approach provides the results of what is in effect an infinite number of scenarios. We offer a general methodology that may be used to support recommendations for the best way to achieve certain goals, and to compare the optimal outcomes given different policy preferences. In addition, visualization options of the resulting non-dominated solutions are discussed. © 2013 Elsevier Ltd.","Bioenergy; Crop rotation schemes; Genetic algorithm; Land use; River basin management; Water quality"
"Yue, D.; Kim, M.A.; You, F.","Yue, Dajun (55376757800); Kim, Min-ah (55820382100); You, Fengqi (56750277000)","55376757800; 55820382100; 56750277000","Design of sustainable product systems and supply chains with life cycle optimization based on functional unit: General modeling framework, mixed-integer nonlinear programming algorithms and case study on hydrocarbon biofuels","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881436124&partnerID=40&md5=80b8d81284f33d80cc39728597a51876","We propose a life cycle optimization framework for the design of sustainable product systems and supply chains considering the concept of ""functional unit"" under economic and environmental criteria. This general modeling framework integrates the life cycle analysis methodology with multiobjective optimization and measures both the economic and environmental performances based on a standard quantity of functional unit associated with final products. The Pareto-optimal frontier returned by the multiobjective optimization problem reveals the trade-off between the economic and environmental objectives. We also present tailored optimization algorithms for efficiently solving the mixed-integer linear fractional programming problems, which result from the life cycle optimization framework. We apply the proposed life cycle optimization framework to a case study on the hydrocarbon biofuels through a spatially explicit model for the county-level supply chain in Illinois. The Pareto-optimal results show that the environmental impact of hydrocarbon biofuels ranges from 10.66 to 23.83 kg CO<inf>2</inf> equiv per gasoline-equivalent gallon (GEG), corresponding to the unit cost ranging from $4.63 to $3.58/GEG. © 2013 American Chemical Society.","Biomass and biofuels; Life cycle optimization; MINLP; Sustainable supply chain"
"Ortiz-Gutiérrez, R.A.; Giarola, S.; Bezzo, F.","Ortiz-Gutiérrez, Ricardo Andrés (55765079000); Giarola, Sara (36350718200); Bezzo, Fabrizio (6602450288)","55765079000; 36350718200; 6602450288","Optimal design of ethanol supply chains considering carbon trading effects and multiple technologies for side-product exploitation","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886021027&partnerID=40&md5=199167366784e4c0178c1f7c69c78e42","This work proposes a spatially explicit mixed integer linear programming modelling framework representing the dynamic evolution of a bioethanol supply chain (SC) under increasing biofuel demand and greenhouse gas (GHG) emission savings over time. Key features of the proposed framework comprise: (i) the incorporation of available set-aside rural surfaces for energy crop cultivation; (ii) the acknowledgement of an economic value to the overall GHG emissions through the introduction of an Emission Trading System. Multiple technological options are assessed to exploit the co-product Distiller's Dried Grains with Solubles either as animal fodder (standard usage) or as fuel for heat and power generation or as raw material for biogas production (and hence heat and power). Bioethanol production in Northern Italy is chosen as a demonstrative case study. © 2013 Taylor and Francis.","biogas; carbon trading; ethanol; multi-objective optimization; supply chain"
"Gebreslassie, B.H.; Waymire, R.; You, F.","Gebreslassie, Berhane Gebreslassie (26648388400); Waymire, Randall (55623840700); You, Fengqi (56750277000)","26648388400; 55623840700; 56750277000","Sustainable design and synthesis of algae-based biorefinery for simultaneous hydrocarbon biofuel production and carbon sequestration","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876299784&partnerID=40&md5=98715e07564310366500b01af85d731a","The superstructure optimization of algae-based hydrocarbon biorefinery with sequestration of CO<inf>2</inf> from power plant flue gas is proposed. The major processing steps include carbon capture, algae growth, dewatering, lipid extraction and power generation, and algal biorefinery. We propose a multiobjective mixed-integer nonlinear programming (MINLP) model that simultaneously maximizes the net present value (NPV) and minimizes the global warming potential (GWP) subject to technology selection constraints, mass balance constraints, energy balance constraints, technoeconomic analysis constraints, and environmental impact constraints. The model simultaneously determines the optimal decisions that include production capacity, size of each processing unit, mass flow rates at each stage of the process, utility consumption, economic, and environmental performances. We propose a two-stage heuristic solution algorithm to solve the nonconvex MINLP model. Finally, the bicriteria optimization problem is solved with ε-constraint method, and the resulting Pareto-optimal curve reveals the trade-off between the economic and environmental criteria. The results show that for maximum NPV, the optimal process design uses direct flue gas, a tubular photobioreactor for algae growth, a filtration dewatering unit, and a hydroprocessing pathway leading to 47.1 MM gallons of green diesel production per year at $6.33/gal corresponding to GWP of 108.7 kg CO<inf>2</inf>-eq per gallon. © 2013 American Institute of Chemical Engineers.","Biorefinery; Mixed-integer nonlinear programming; Multiobjective; Superstructure; Sustainability"
"Wang, B.; Gebreslassie, B.H.; You, F.","Wang, Belinda (55534567400); Gebreslassie, Berhane Gebreslassie (26648388400); You, Fengqi (56750277000)","55534567400; 26648388400; 56750277000","Sustainable design and synthesis of hydrocarbon biorefinery via gasification pathway: Integrated life cycle assessment and technoeconomic analysis with multiobjective superstructure optimization","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873036003&partnerID=40&md5=7621ae1ab97e9ff5784b9afec5f7afb5","This paper proposes a multiobjective, mixed-integer nonlinear programming (MINLP) model for the superstructure optimization of hydrocarbon biorefineries via gasification pathway under economic and environmental criteria. The proposed hydrocarbon biorefinery superstructure includes a number of major processing stages, such as drying of the cellulosic biomass feedstocks, air separation unit, gasification, syngas conditioning, Fischer-Tropsch synthesis, hydroprocessing, power generation, and the diesel and gasoline production. The superstructure considers alternatives of technologies and equipment, such as gasification technologies, cooling options, hydrogen production sources, and Fischer-Tropsch synthesis catalysts. The economic objective is measured by the net present value (NPV), and the environmental concern is measured using global warming potential (GWP) that follows the life cycle assessment procedures, which evaluates the gate-to-gate environmental impacts of hydrocarbon biofuels. The multiobjective MINLP model simultaneously determines the technology selection, operation conditions, flow rate of each stream, energy consumption of each unit, economic performance, environmental impacts, and equipment sizes. The multiobjective MINLP problem is solved with the e{open}-constraint method. The resulting Pareto-optimal curve reveals the trade-off between the economic and environmental performances. The optimal solution reveals that the high-temperature gasification, direct cooling, internal hydrogen production and cobalt catalysis have the best environmental and economic performances. At the breakeven point, where the optimal NPV is 0, the unit production cost of hydrocarbon biorefinery is $4.43 per gasoline-equivalent gallon (GEG) with unit GWP of 20.92kg CO<inf>2</inf> eqv./GEG. In the case of maximum NPV of $810 MM, the corresponding unit production cost is $3.17/GEG. © 2013 Elsevier Ltd.","Fischer-Tropsch; Gasification; LCA; MINLP; Multiobjective optimization"
"Gebreslassie, B.H.; Slivinsky, M.; Wang, B.; You, F.","Gebreslassie, Berhane Gebreslassie (26648388400); Slivinsky, Maxim (55535031700); Wang, Belinda (55534567400); You, Fengqi (56750277000)","26648388400; 55535031700; 55534567400; 56750277000","Life cycle optimization for sustainable design and operations of hydrocarbon biorefinery via fast pyrolysis, hydrotreating and hydrocracking","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871415668&partnerID=40&md5=a0c17c05060d3d7f141dbf3fbf0165d0","This paper addresses the optimal design and operation of hydrocarbon biorefinery via fast pyrolysis, hydrotreating and hydrocracking of hybrid poplar feedstock under economic and environmental criteria. The hydrocarbon biorefinery encompasses fast pyrolysis for crude bio-oil production, upgrading of the bio-oil through hydrotreating, separation and hydrocracking of long chained hydrocarbons into gasoline and diesel range products, and steam reforming for hydrogen production. We propose a bi-criteria nonlinear programming (NLP) model that seeks to maximize the economic performance measured by the net present value (NPV) and to minimize the environmental impacts. The environmental objective is measured with the global warming potential (GWP) metric according to the life cycle assessment procedures, which covers gate-to-gate environmental impacts of the hydrocarbon biorefinery. The multiobjective NLP model simultaneously determines the production capacity, size of each process units, operational conditions, the flow rates of species and streams at each stage of the process, hydrocarbon biofuel yields, and consumption rate of feedstock, steam, electricity, and natural gas. The bi-criteria NLP model is solved with the e{open}-constraint method, and the resulting Pareto-optimal curve reveals the trade-off between the economic and environmental dimensions of the sustainable hydrocarbon biorefinery. The optimization results reveal that the unit production cost of the hydrocarbon biofuels is $2.31 per gallon of gasoline equivalent (GGE) for the maximum NPV solution and $3.67/GGE for the minimum GWP design. The corresponding greenhouse emission is 8.07kgCO<inf>2-eq</inf>/GGE. © 2012 Elsevier Ltd.","Fast pyrolysis; Hydrocarbon biofuels; Hydroprocessing; LCA; NLP"
"Gramig, B.M.; Reeling, C.J.; Raj, R.; Chaubey, I.","Gramig, Benjamin M. (23088255200); Reeling, Carson J. (36705119900); Raj, Cibin (36463401000); Chaubey, Indrajeet (57203258574)","23088255200; 36705119900; 36463401000; 57203258574","Environmental and economic trade-offs in a watershed when using corn stover for bioenergy","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874049922&partnerID=40&md5=4a81cff9f3e16caeaf0f5364ac05a4bd","There is an abundant supply of corn stover in the United States that remains after grain is harvested which could be used to produce cellulosic biofuels mandated by the current Renewable Fuel Standard (RFS). This research integrates the Soil Water Assessment Tool (SWAT) watershed model and the DayCent biogeochemical model to investigate water quality and soil greenhouse gas flux that results when corn stover is collected at two different rates from corn-soybean and continuous corn crop rotations with and without tillage. Multiobjective watershed-scale optimizations are performed for individual pollutant-cost minimization criteria based on the economic cost of each cropping practice and (individually) the effect on nitrate, total phosphorus, sediment, or global warming potential. We compare these results with a purely economic optimization that maximizes stover production at the lowest cost without taking environmental impacts into account. We illustrate trade-offs between cost and different environmental performance criteria, assuming that nutrients contained in any stover collected must be replaced. The key finding is that stover collection using the practices modeled results in increased contributions to atmospheric greenhouse gases while reducing nitrate and total phosphorus loading to the watershed relative to the status quo without stover collection. Stover collection increases sediment loading to waterways relative to when no stover is removed for each crop rotation-tillage practice combination considered; no-till in combination with stover collection reduced sediment loading below baseline conditions without stover collection. Our results suggest that additional information is needed about (i) the level of nutrient replacement required to maintain grain yields and (ii) cost-effective management practices capable of reducing soil erosion when crop residues are removed in order to avoid contributions to climate change and water quality impairments as a result of using corn stover to satisfy the RFS. © 2013 American Chemical Society.",""
"Nápoles-Rivera, F.; Serna-González, M.; Bin-Mahfouz, A.; Jiménez-Gutiérrez, A.; El-Halwagi, M.; Ponce-Ortega, J.M.","Nápoles-Rivera, Fabricio (56013678900); Serna-González, Medardo (22036038300); Bin-Mahfouz, Abdullah Salmeen (57211413349); Jiménez-Gutiérrez, Arturo G. (6507646359); El-Halwagi, Mahmoud M. (7004412200); Ponce-Ortega, José María (6506180301)","56013678900; 22036038300; 57211413349; 6507646359; 7004412200; 6506180301","Simultaneous optimization of energy management, biocide dosing and maintenance scheduling of thermally integrated facilities","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873631791&partnerID=40&md5=c4f3fa400cfa207ba02fc91a6d8147ad","This work presents a systematic approach for the simultaneous optimization of energy supply management, biocide dosing and maintenance scheduling in heat integrated plants considering economic, technical and environmental aspects. The resulting model is a multi-objective mixed integer non-linear programming problem. The considered plants use seawater as cooling fluid above room temperature and a refrigerant below room temperature. One of the main advantages of this work is that it considers not only the economic aspect of the process, but also the technical challenges associated to the use of seawater, the seasonal availability of energy resources and the global environmental impact of the process. The environmental impact is measured through the life cycle analysis of the energy resources (fossil fuels, biofuels and solar energy), expressed in terms of the overall greenhouse gas emissions. A case study for an acrylonitrile plant is solved to show the applicability of the proposed methodology. © 2013 Elsevier Ltd. All rights reserved.","Biofouling control; Multi-objective optimization; Multi-period optimization; Refrigeration; Seawater cooled plants; Sustainable energy integration"
"Lira-Barragán, L.F.; Ponce-Ortega, J.M.; Serna-González, M.; El-Halwagi, M.","Lira-Barragán, L. F. (36775068700); Ponce-Ortega, José María (6506180301); Serna-González, Medardo (22036038300); El-Halwagi, Mahmoud M. (7004412200)","36775068700; 6506180301; 22036038300; 7004412200","Synthesis of integrated absorption refrigeration systems involving economic and environmental objectives and quantifying social benefits","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872411718&partnerID=40&md5=80e46d95ac7131a0bd7b6c0da3331867","This paper presents a new methodology for energy integration of systems that require absorption refrigeration. It allows heat exchange among process hot and cold streams and the integration of excess process heat as well as external utilities provided by solar energy, fossil fuels and biofuels. An optimization formulation is developed to address the multiple objectives of simultaneously minimizing the total annualized cost and the greenhouse gas emissions while the social impact is measured by the number of jobs generated by the project in the entire life cycle. The economic function accounts for the tax credit obtained by the reduction of greenhouse gas emissions when cleaner technologies are used. The proposed model also considers the optimal selection of different types of solar collectors and the optimal time-based usage of solar energy, fossil fuel, and biofuel. Two example problems are presented to show the applicability of the proposed methodology. © 2012 Elsevier B.V. All rights reserved.","Biofuels; Greenhouse gas emissions; Heat integration; Multi-objective optimization; Refrigeration systems; Solar energy; Sustainable energy"
"Gutiérrez-Arriaga, C.G.; Serna-González, M.; Ponce-Ortega, J.M.; El-Halwagi, M.","Gutiérrez-Arriaga, César Giovani (55500160700); Serna-González, Medardo (22036038300); Ponce-Ortega, José María (6506180301); El-Halwagi, Mahmoud M. (7004412200)","55500160700; 22036038300; 6506180301; 7004412200","Multi-objective optimization of steam power plants for sustainable generation of electricity","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885387372&partnerID=40&md5=f8d060ff7e2f40ce3b05d062d0cde263","A unified framework that combines process simulation and multi-objective optimization is presented to simultaneously maximize the annual profit, while minimizing environmental impact (i.e., greenhouse gas emissions) of steam power plants with fixed flowsheet structures. The proposed methodology includes the selection of suitable primary energy sources (i.e., fossil fuels, biomass, biofuels, and solar energy) for sustainable electricity generation. For solving the problem of optimal selection of energy sources, a linear model is developed and included within a highly nonlinear simulation model for the parameter optimization of steam power plants that is solved by using genetic algorithms. This approach is robust and avoids making discrete decisions. Life cycle assessment technique is used to quantify the greenhouse gas emissions resulting from different combinations of energy sources and operating conditions of the power plants. The thermodynamic properties for liquid water and steam are calculated rigorously using the IAPWS-IF 97 formulation. An example problem of an advanced regenerative-reheat steam power plant is presented to illustrate the proposed method, which provides the Pareto optimal solutions, the types and amounts of primary energy sources as well as the optimal values of the operating conditions of the plant that simultaneously maximize the profit while minimizing environmental impact. © 2012 Springer-Verlag Berlin Heidelberg.","Biofuels; Greenhouse gas emissions; Life cycle analysis; Multi-objective optimization; Renewable energy; Solar energy; Steam power plants; Sustainable electricity generation"
"Bernardi, A.; Giarola, S.; Bezzo, F.","Bernardi, Andrea (56425467500); Giarola, Sara (36350718200); Bezzo, Fabrizio (6602450288)","56425467500; 36350718200; 6602450288","Optimizing the economics and the carbon and water footprints of bioethanol supply chains","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872972644&partnerID=40&md5=f357bc21b03007a4b467057e4227ae8f","Water consumption has become a serious concern in renewable fuels production. This paper proposes a framework to address sustainable transport systems design where both environmental (i.e. carbon and water footprints) and economic performances are taken into account along the bioethanol supply chain. A multi-objective Mixed Integer Linear Programming modeling framework supporting strategic design and planning decisions for multi-period and multi-echelon upstream ethanol supply chains is developed. Hybrid biofuel production networks, where both corn grain and stover are used as suitable feedstocks, are optimized according to several features, involving technology selection and by-products end-use option. A case study is presented referring to the emerging Italian biofuels market. Results show the effectiveness of mathematical-programming-based tools to optimal design of biofuels supply chains, assessing the pros and cons of alternative configurations and, thus, allowing investors to drive planning decisions. © 2012 Society of Chemical Industry and John Wiley & Sons, Ltd.","Bioethanol; Carbon footprint; Supply chain optimization; Water footprint"
"Akgul, O.; Shah, N.; Papageorgiou, L.G.","Akgul, Ozlem (37113770100); Shah, Nilay G. (56846290400); Papageorgiou, Lazaros G. (7003608896)","37113770100; 56846290400; 7003608896","An optimisation framework for a hybrid first/second generation bioethanol supply chain","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861575633&partnerID=40&md5=0cd2ffe473c44b2d69d9fee794459ec9","Assessment of both economical and environmental performance of biofuel supply chains is crucial to have a complete view of the future implications of those systems. This paper presents a multi-objective, static modelling framework for the optimisation of hybrid first/second generation biofuel supply chains. Using the proposed modelling framework, different aspects are analysed including the potential GHG savings, the impact of carbon tax on the economic and environmental performance of a biofuel supply chain, the trade-off between the economic and environmental objectives and the maximum bioethanol throughput that can be achieved at different cap levels on the total supply chain cost. The trade-off between the conflicting objectives is analysed by solving the proposed multi-objective model using the e{open}-constraint method. In addition, the impact of technological learning on the economic and environmental performance of the supply chain throughout time is also analysed using a multi-period model developed based on the proposed static optimisation framework. Bioethanol production in the UK using hybrid first/second generation technologies is considered as the case study to highlight the model applicability. © 2012 Elsevier Ltd.","Bioethanol supply chains; Hybrid first/second generation biofuels; Multi-objective optimisation"
"Giarola, S.; Zamboni, A.; Bezzo, F.","Giarola, Sara (36350718200); Zamboni, Andrea (24438630900); Bezzo, Fabrizio (6602450288)","36350718200; 24438630900; 6602450288","Environmentally conscious capacity planning and technology selection for bioethanol supply chains","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856517035&partnerID=40&md5=9ed3b0f830797f3ff809eae737b84ed6","Concerns about energy supply security and climate change have been pushing world countries towards the promotion of renewable sources of energy and more sustainable liquid fuels. Initially indicated as the most viable solution within the transport sector, corn bioethanol is now incurring increasing discredits relating to its profitability and to its effective sustainability. Lignocellulosic ethanol is commonly viewed as a better solution over the long term due to its potential to overcome first generation limitations. This paper addresses the design of bioethanol supply chains where both corn grain and stover are considered as suitable biomass. A Mixed Integer Linear Program is proposed to simultaneously optimise the environmental and financial performances by taking into account a wide number of technological options. Results show the effect of different strategic objectives on the main design feature and it is demonstrated how environmental objectives may strongly affect technological choices as well as the supply chain design in terms of both system profitability and sustainability. © 2011 Elsevier Ltd.","Bioethanol; Capacity planning; Multi-objective optimisation"
